CPU 0:0 is avilable 
end to end dis 1.33979
end to end dis 1.33966
end to end dis 1.34043
end to end dis 1.33932
end to end dis 1.34072
end to end dis 1.33722
end to end dis 1.33898
end to end dis 1.33955
end to end dis 1.33867
end to end dis 1.33953
end to end dis 1.3394
end to end dis 1.33819
end to end dis 1.33915
end to end dis 1.33938
end to end dis 1.33925
end to end dis 1.33949
end to end dis 1.34042
end to end dis 1.33995
end to end dis 1.33932
end to end dis 1.33921
end to end dis 1.33989
end to end dis 1.33976
end to end dis 1.33963
end to end dis 1.34035
end to end dis 1.34078
end to end dis 1.34062
end to end dis 1.34091
end to end dis 1.34021
end to end dis 1.34128
end to end dis 1.34127
end to end dis 1.34104
end to end dis 1.34045
end to end dis 1.34052
end to end dis 1.34057
end to end dis 1.33981
end to end dis 1.33984
end to end dis 1.34007
end to end dis 1.33994
end to end dis 1.33985
end to end dis 1.3395
end to end dis 1.34022
end to end dis 1.34154
end to end dis 1.34073
end to end dis 1.34136
end to end dis 1.34072
end to end dis 1.34045
end to end dis 1.34158
time =786.639
